[0105].[12488].[11368].[2021.04.05.01.22.04.511489].SRV1.INF:Main.py.on_data_ready.47:Cx=72 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0106].[12488].[11368].[2021.04.05.01.22.04.519492].SRV1.INF:Main.py.on_data_ready.47:Cx=73 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0107].[12488].[11368].[2021.04.05.01.22.04.528499].SRV1.INF:Main.py.on_data_ready.47:Cx=74 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0108].[12488].[11368].[2021.04.05.01.22.04.536503].SRV1.INF:Main.py.on_data_ready.47:Cx=75 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0109].[12488].[11368].[2021.04.05.01.22.04.545511].SRV1.INF:Main.py.on_data_ready.47:Cx=76 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0110].[12488].[11368].[2021.04.05.01.22.04.553516].SRV1.INF:Main.py.on_data_ready.47:Cx=77 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0111].[12488].[11368].[2021.04.05.01.22.04.561520].SRV1.INF:Main.py.on_data_ready.47:Cx=78 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0112].[12488].[11368].[2021.04.05.01.22.04.569525].SRV1.INF:Main.py.on_data_ready.47:Cx=79 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0113].[12488].[11368].[2021.04.05.01.22.04.577531].SRV1.INF:Main.py.on_data_ready.47:Cx=80 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0114].[12488].[11368].[2021.04.05.01.22.04.585536].SRV1.INF:Main.py.on_data_ready.47:Cx=81 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0115].[12488].[11368].[2021.04.05.01.22.04.593542].SRV1.INF:Main.py.on_data_ready.47:Cx=82 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
